"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums","meta:_weight"
"simple","Pack 56 Diffuseurs Voiture Collection Privée L'original (2 boîtes)","1","0","visible","<p>Composez votre pack de 56 diffuseurs de parfum pour voiture Collection Privée L'Original — 2 boîtes de 28 unités. Choisissez librement parmi nos 8 senteurs exclusives pour parfumer chaque habitacle avec élégance.</p>","","","173.60","","","","56","VANILLA BLOOM, RED FLOWER, PINK SPICY, LEATHER, LATINA, FIGUE, BONBON, AMBER SWEET","5.60"
"simple","Pack 112 Diffuseurs Voiture Collection Privée L'original (4 boîtes)","1","0","visible","<p>Composez votre pack de 112 diffuseurs de parfum pour voiture Collection Privée L'Original — 4 boîtes de 28 unités. Choisissez librement parmi nos 8 senteurs exclusives pour parfumer chaque habitacle avec élégance.</p>","","","313.60","","","","112","VANILLA BLOOM, RED FLOWER, PINK SPICY, LEATHER, LATINA, FIGUE, BONBON, AMBER SWEET","11.20"
"simple","Pack 224 Diffuseurs Voiture Collection Privée L'original (8 boîtes)","1","0","visible","<p>Composez votre pack de 224 diffuseurs de parfum pour voiture Collection Privée L'Original — 8 boîtes de 28 unités. Choisissez librement parmi nos 8 senteurs exclusives pour parfumer chaque habitacle avec élégance.</p>","","","560.00","","","","224","VANILLA BLOOM, RED FLOWER, PINK SPICY, LEATHER, LATINA, FIGUE, BONBON, AMBER SWEET","22.40"
