"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Pack 10 Parfums 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 10 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","49","","","","","10","FEVE (INSPIRÉ DE DELICE DE FEVES), GRIS (INSPIRÉ DE GRIS), CHERRY (INSPIRÉ DE LOST CHERRY), COMÉTE (INSPIRÉ DE METEOR), ERBA (INSPIRÉ DE ERBA PURA), GHOST (INSPIRÉ DE BLACK FANTOM), ILHAM (INSPIRÉ DE ILHAM), INFINITY (INSPIRÉ DE IMMENSITÉ), INTENSE (INTENSE), KALIMAT (INSPIRÉ DE KALEMAT), KIRKE (INSPIRÉ DE KIRKÉ), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), ADORE (INSPIRÉ DE J'ADORE), AISHA (INSPIRÉ DE MAGIC), AMBRE (INSPIRÉ DE AMBRE NUIT), AVENTUS (INSPIRÉ DE AVENTUS), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BLACKOP (INSPIRÉ DE BLACK OPIUM), BLEU (INSPIRÉ DE BLEU), BLUE MAGIC (INSPIRÉ DE CRAZY MOODY), BOIS (INSPIRÉ DE BOIS D'ARGENT), COCO (INSPIRÉ DE COCO MLLE)"
"simple","Pack 20 Parfums 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 20 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","90","","","","","20","FEVE (INSPIRÉ DE DELICE DE FEVES), GRIS (INSPIRÉ DE GRIS), CHERRY (INSPIRÉ DE LOST CHERRY), COMÉTE (INSPIRÉ DE METEOR), ERBA (INSPIRÉ DE ERBA PURA), GHOST (INSPIRÉ DE BLACK FANTOM), ILHAM (INSPIRÉ DE ILHAM), INFINITY (INSPIRÉ DE IMMENSITÉ), INTENSE (INTENSE), KALIMAT (INSPIRÉ DE KALEMAT), KIRKE (INSPIRÉ DE KIRKÉ), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), ADORE (INSPIRÉ DE J'ADORE), AISHA (INSPIRÉ DE MAGIC), AMBRE (INSPIRÉ DE AMBRE NUIT), AVENTUS (INSPIRÉ DE AVENTUS), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BLACKOP (INSPIRÉ DE BLACK OPIUM), BLEU (INSPIRÉ DE BLEU), BLUE MAGIC (INSPIRÉ DE CRAZY MOODY), BOIS (INSPIRÉ DE BOIS D'ARGENT), COCO (INSPIRÉ DE COCO MLLE)"
"simple","Pack 35 Parfums 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 35 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","147","","","","","35","FEVE (INSPIRÉ DE DELICE DE FEVES), GRIS (INSPIRÉ DE GRIS), CHERRY (INSPIRÉ DE LOST CHERRY), COMÉTE (INSPIRÉ DE METEOR), ERBA (INSPIRÉ DE ERBA PURA), GHOST (INSPIRÉ DE BLACK FANTOM), ILHAM (INSPIRÉ DE ILHAM), INFINITY (INSPIRÉ DE IMMENSITÉ), INTENSE (INTENSE), KALIMAT (INSPIRÉ DE KALEMAT), KIRKE (INSPIRÉ DE KIRKÉ), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), ADORE (INSPIRÉ DE J'ADORE), AISHA (INSPIRÉ DE MAGIC), AMBRE (INSPIRÉ DE AMBRE NUIT), AVENTUS (INSPIRÉ DE AVENTUS), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BLACKOP (INSPIRÉ DE BLACK OPIUM), BLEU (INSPIRÉ DE BLEU), BLUE MAGIC (INSPIRÉ DE CRAZY MOODY), BOIS (INSPIRÉ DE BOIS D'ARGENT), COCO (INSPIRÉ DE COCO MLLE)"
"simple","Pack 50 Parfums 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 50 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","195","","","","","50","FEVE (INSPIRÉ DE DELICE DE FEVES), GRIS (INSPIRÉ DE GRIS), CHERRY (INSPIRÉ DE LOST CHERRY), COMÉTE (INSPIRÉ DE METEOR), ERBA (INSPIRÉ DE ERBA PURA), GHOST (INSPIRÉ DE BLACK FANTOM), ILHAM (INSPIRÉ DE ILHAM), INFINITY (INSPIRÉ DE IMMENSITÉ), INTENSE (INTENSE), KALIMAT (INSPIRÉ DE KALEMAT), KIRKE (INSPIRÉ DE KIRKÉ), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), ADORE (INSPIRÉ DE J'ADORE), AISHA (INSPIRÉ DE MAGIC), AMBRE (INSPIRÉ DE AMBRE NUIT), AVENTUS (INSPIRÉ DE AVENTUS), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BLACKOP (INSPIRÉ DE BLACK OPIUM), BLEU (INSPIRÉ DE BLEU), BLUE MAGIC (INSPIRÉ DE CRAZY MOODY), BOIS (INSPIRÉ DE BOIS D'ARGENT), COCO (INSPIRÉ DE COCO MLLE)"
"simple","Pack 100 Parfums 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 100 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","360","","","","","100","FEVE (INSPIRÉ DE DELICE DE FEVES), GRIS (INSPIRÉ DE GRIS), CHERRY (INSPIRÉ DE LOST CHERRY), COMÉTE (INSPIRÉ DE METEOR), ERBA (INSPIRÉ DE ERBA PURA), GHOST (INSPIRÉ DE BLACK FANTOM), ILHAM (INSPIRÉ DE ILHAM), INFINITY (INSPIRÉ DE IMMENSITÉ), INTENSE (INTENSE), KALIMAT (INSPIRÉ DE KALEMAT), KIRKE (INSPIRÉ DE KIRKÉ), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), ADORE (INSPIRÉ DE J'ADORE), AISHA (INSPIRÉ DE MAGIC), AMBRE (INSPIRÉ DE AMBRE NUIT), AVENTUS (INSPIRÉ DE AVENTUS), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BLACKOP (INSPIRÉ DE BLACK OPIUM), BLEU (INSPIRÉ DE BLEU), BLUE MAGIC (INSPIRÉ DE CRAZY MOODY), BOIS (INSPIRÉ DE BOIS D'ARGENT), COCO (INSPIRÉ DE COCO MLLE)"
