"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Pack 10 Parfum 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 10 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur élégance et leur sillage envoûtant.</p>","","49","","COLLECTION PRIVÉE PARIS > Parfums 50ml","","","10","ÉLIXIR DE BOIS (INSPIRÉ DE BOIS D'ARGENT), ÉCLIPSE (INSPIRÉ DE GRIS MONTAIGNE), ÉLIXIR ROUGE (INSPIRÉ DE BACCARAT ROUGE), AÏSHA (INSPIRÉ DE MAGIC), SUBLIME (INSPIRÉ DE SUPRÊME BOUQUET), DÉLICE DE FÈVES (INSPIRÉ DE FÈVE DÉLICIEUSE), MYSTÈRE (INSPIRÉ DE SI), SUBLIME AMBRÉE (INSPIRÉ DE AMBRE NUIT), SISTER (INSPIRÉ DE LADY MILLION), MISTER (INSPIRÉ DE ONE MILLION), SAVANE (INSPIRÉ DE SAUVAGE), MYSTIQUE (INSPIRÉ DE TERRE D'HERMÈS), BLEU AZUR (INSPIRÉ DE BLEU DE CHANEL), ROSE (INSPIRÉ DE ROSE D'ARABIE), DOUCEUR (INSPIRÉ DE J'ADORE), COQUINE (INSPIRÉ DE COCO MADEMOISELLE), OBSCURE (INSPIRÉ DE LA NUIT DE L'HOMME), OUD D'ORIENT (INSPIRÉ DE OUD ISPAHAN), CHARME (INSPIRÉ DE MISS DIOR), NARKOTIK (INSPIRÉ DE BLACK OPIUM), FOR LIFE (INSPIRÉ DE LA VIE EST BELLE), N.MONDE (INSPIRÉ DE NOUVEAU MONDE), PEGAZ (INSPIRÉ DE PEGASUS), HYPNOSE (INSPIRÉ DE HYPNOTIC POISON), AVTUS (INSPIRÉ DE AVENTUS), BLACK WOMEN (INSPIRÉ DE LA PETITE ROBE NOIRE), BAD BOY (INSPIRÉ DE L'ULTRA MÂLE), ROSE VIP (INSPIRÉ DE 212 VIP), MAGIC BLUE (INSPIRÉ DE CRAZY MOODY), WOODY (INSPIRÉ DE OUD WOOD), TOBAKO (INSPIRÉ DE TOBACCO VANILLE), SABLE (INSPIRÉ DE SABLE OR), DREAM (INSPIRÉ DE ATTRAPE-RÊVES), ILLICITE (INSPIRÉ DE L'INTERDIT), INVINCIBLE (INSPIRÉ DE INVICTUS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), ROUGE VIF (INSPIRÉ DE ROUGE TRAFALGAR), DOLCE VITA (INSPIRÉ DE KIRKÉ), EXQUISE (INSPIRÉ DE SUCRE NOIR VANIGLIA), OUD SUBTILE (INSPIRÉ DE MADAWI), KALIMATI (INSPIRÉ DE KALIMAT), ARABIA (INSPIRÉ DE SOLID), OMBRE N (INSPIRÉ DE OMBRE NOMADE), ILHAM (INSPIRÉ DE SO OUD), ANGELA (INSPIRÉ DE ANGEL), MY CHERRY (INSPIRÉ DE LOST CHERRY), PARISIENNE (INSPIRÉ DE SCANDAL FEMME), PARISIEN (INSPIRÉ DE SCANDAL HOMME), MULA (INSPIRÉ DE BYRON), ERBA (INSPIRÉ DE ERBA PURA), MUSC BLANC (INSPIRÉ DE TAHARA), ELLE (INSPIRÉ DE LIBRE), INFINITY (INSPIRÉ DE L'IMMENSITÉ), COMÈTE (INSPIRÉ DE MÉTÉORE), KRYPTON (INSPIRÉ DE CARGO), GHOST (INSPIRÉ DE BLACK PHANTOM)"
"simple","Pack 20 Parfum 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 20 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur élégance et leur sillage envoûtant.</p>","","90","","COLLECTION PRIVÉE PARIS > Parfums 50ml","","","20","ÉLIXIR DE BOIS (INSPIRÉ DE BOIS D'ARGENT), ÉCLIPSE (INSPIRÉ DE GRIS MONTAIGNE), ÉLIXIR ROUGE (INSPIRÉ DE BACCARAT ROUGE), AÏSHA (INSPIRÉ DE MAGIC), SUBLIME (INSPIRÉ DE SUPRÊME BOUQUET), DÉLICE DE FÈVES (INSPIRÉ DE FÈVE DÉLICIEUSE), MYSTÈRE (INSPIRÉ DE SI), SUBLIME AMBRÉE (INSPIRÉ DE AMBRE NUIT), SISTER (INSPIRÉ DE LADY MILLION), MISTER (INSPIRÉ DE ONE MILLION), SAVANE (INSPIRÉ DE SAUVAGE), MYSTIQUE (INSPIRÉ DE TERRE D'HERMÈS), BLEU AZUR (INSPIRÉ DE BLEU DE CHANEL), ROSE (INSPIRÉ DE ROSE D'ARABIE), DOUCEUR (INSPIRÉ DE J'ADORE), COQUINE (INSPIRÉ DE COCO MADEMOISELLE), OBSCURE (INSPIRÉ DE LA NUIT DE L'HOMME), OUD D'ORIENT (INSPIRÉ DE OUD ISPAHAN), CHARME (INSPIRÉ DE MISS DIOR), NARKOTIK (INSPIRÉ DE BLACK OPIUM), FOR LIFE (INSPIRÉ DE LA VIE EST BELLE), N.MONDE (INSPIRÉ DE NOUVEAU MONDE), PEGAZ (INSPIRÉ DE PEGASUS), HYPNOSE (INSPIRÉ DE HYPNOTIC POISON), AVTUS (INSPIRÉ DE AVENTUS), BLACK WOMEN (INSPIRÉ DE LA PETITE ROBE NOIRE), BAD BOY (INSPIRÉ DE L'ULTRA MÂLE), ROSE VIP (INSPIRÉ DE 212 VIP), MAGIC BLUE (INSPIRÉ DE CRAZY MOODY), WOODY (INSPIRÉ DE OUD WOOD), TOBAKO (INSPIRÉ DE TOBACCO VANILLE), SABLE (INSPIRÉ DE SABLE OR), DREAM (INSPIRÉ DE ATTRAPE-RÊVES), ILLICITE (INSPIRÉ DE L'INTERDIT), INVINCIBLE (INSPIRÉ DE INVICTUS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), ROUGE VIF (INSPIRÉ DE ROUGE TRAFALGAR), DOLCE VITA (INSPIRÉ DE KIRKÉ), EXQUISE (INSPIRÉ DE SUCRE NOIR VANIGLIA), OUD SUBTILE (INSPIRÉ DE MADAWI), KALIMATI (INSPIRÉ DE KALIMAT), ARABIA (INSPIRÉ DE SOLID), OMBRE N (INSPIRÉ DE OMBRE NOMADE), ILHAM (INSPIRÉ DE SO OUD), ANGELA (INSPIRÉ DE ANGEL), MY CHERRY (INSPIRÉ DE LOST CHERRY), PARISIENNE (INSPIRÉ DE SCANDAL FEMME), PARISIEN (INSPIRÉ DE SCANDAL HOMME), MULA (INSPIRÉ DE BYRON), ERBA (INSPIRÉ DE ERBA PURA), MUSC BLANC (INSPIRÉ DE TAHARA), ELLE (INSPIRÉ DE LIBRE), INFINITY (INSPIRÉ DE L'IMMENSITÉ), COMÈTE (INSPIRÉ DE MÉTÉORE), KRYPTON (INSPIRÉ DE CARGO), GHOST (INSPIRÉ DE BLACK PHANTOM)"
"simple","Pack 35 Parfum 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 35 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur élégance et leur sillage envoûtant.</p>","","147","","COLLECTION PRIVÉE PARIS > Parfums 50ml","","","35","ÉLIXIR DE BOIS (INSPIRÉ DE BOIS D'ARGENT), ÉCLIPSE (INSPIRÉ DE GRIS MONTAIGNE), ÉLIXIR ROUGE (INSPIRÉ DE BACCARAT ROUGE), AÏSHA (INSPIRÉ DE MAGIC), SUBLIME (INSPIRÉ DE SUPRÊME BOUQUET), DÉLICE DE FÈVES (INSPIRÉ DE FÈVE DÉLICIEUSE), MYSTÈRE (INSPIRÉ DE SI), SUBLIME AMBRÉE (INSPIRÉ DE AMBRE NUIT), SISTER (INSPIRÉ DE LADY MILLION), MISTER (INSPIRÉ DE ONE MILLION), SAVANE (INSPIRÉ DE SAUVAGE), MYSTIQUE (INSPIRÉ DE TERRE D'HERMÈS), BLEU AZUR (INSPIRÉ DE BLEU DE CHANEL), ROSE (INSPIRÉ DE ROSE D'ARABIE), DOUCEUR (INSPIRÉ DE J'ADORE), COQUINE (INSPIRÉ DE COCO MADEMOISELLE), OBSCURE (INSPIRÉ DE LA NUIT DE L'HOMME), OUD D'ORIENT (INSPIRÉ DE OUD ISPAHAN), CHARME (INSPIRÉ DE MISS DIOR), NARKOTIK (INSPIRÉ DE BLACK OPIUM), FOR LIFE (INSPIRÉ DE LA VIE EST BELLE), N.MONDE (INSPIRÉ DE NOUVEAU MONDE), PEGAZ (INSPIRÉ DE PEGASUS), HYPNOSE (INSPIRÉ DE HYPNOTIC POISON), AVTUS (INSPIRÉ DE AVENTUS), BLACK WOMEN (INSPIRÉ DE LA PETITE ROBE NOIRE), BAD BOY (INSPIRÉ DE L'ULTRA MÂLE), ROSE VIP (INSPIRÉ DE 212 VIP), MAGIC BLUE (INSPIRÉ DE CRAZY MOODY), WOODY (INSPIRÉ DE OUD WOOD), TOBAKO (INSPIRÉ DE TOBACCO VANILLE), SABLE (INSPIRÉ DE SABLE OR), DREAM (INSPIRÉ DE ATTRAPE-RÊVES), ILLICITE (INSPIRÉ DE L'INTERDIT), INVINCIBLE (INSPIRÉ DE INVICTUS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), ROUGE VIF (INSPIRÉ DE ROUGE TRAFALGAR), DOLCE VITA (INSPIRÉ DE KIRKÉ), EXQUISE (INSPIRÉ DE SUCRE NOIR VANIGLIA), OUD SUBTILE (INSPIRÉ DE MADAWI), KALIMATI (INSPIRÉ DE KALIMAT), ARABIA (INSPIRÉ DE SOLID), OMBRE N (INSPIRÉ DE OMBRE NOMADE), ILHAM (INSPIRÉ DE SO OUD), ANGELA (INSPIRÉ DE ANGEL), MY CHERRY (INSPIRÉ DE LOST CHERRY), PARISIENNE (INSPIRÉ DE SCANDAL FEMME), PARISIEN (INSPIRÉ DE SCANDAL HOMME), MULA (INSPIRÉ DE BYRON), ERBA (INSPIRÉ DE ERBA PURA), MUSC BLANC (INSPIRÉ DE TAHARA), ELLE (INSPIRÉ DE LIBRE), INFINITY (INSPIRÉ DE L'IMMENSITÉ), COMÈTE (INSPIRÉ DE MÉTÉORE), KRYPTON (INSPIRÉ DE CARGO), GHOST (INSPIRÉ DE BLACK PHANTOM)"
"simple","Pack 50 Parfum 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 50 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur élégance et leur sillage envoûtant.</p>","","195","","COLLECTION PRIVÉE PARIS > Parfums 50ml","","","50","ÉLIXIR DE BOIS (INSPIRÉ DE BOIS D'ARGENT), ÉCLIPSE (INSPIRÉ DE GRIS MONTAIGNE), ÉLIXIR ROUGE (INSPIRÉ DE BACCARAT ROUGE), AÏSHA (INSPIRÉ DE MAGIC), SUBLIME (INSPIRÉ DE SUPRÊME BOUQUET), DÉLICE DE FÈVES (INSPIRÉ DE FÈVE DÉLICIEUSE), MYSTÈRE (INSPIRÉ DE SI), SUBLIME AMBRÉE (INSPIRÉ DE AMBRE NUIT), SISTER (INSPIRÉ DE LADY MILLION), MISTER (INSPIRÉ DE ONE MILLION), SAVANE (INSPIRÉ DE SAUVAGE), MYSTIQUE (INSPIRÉ DE TERRE D'HERMÈS), BLEU AZUR (INSPIRÉ DE BLEU DE CHANEL), ROSE (INSPIRÉ DE ROSE D'ARABIE), DOUCEUR (INSPIRÉ DE J'ADORE), COQUINE (INSPIRÉ DE COCO MADEMOISELLE), OBSCURE (INSPIRÉ DE LA NUIT DE L'HOMME), OUD D'ORIENT (INSPIRÉ DE OUD ISPAHAN), CHARME (INSPIRÉ DE MISS DIOR), NARKOTIK (INSPIRÉ DE BLACK OPIUM), FOR LIFE (INSPIRÉ DE LA VIE EST BELLE), N.MONDE (INSPIRÉ DE NOUVEAU MONDE), PEGAZ (INSPIRÉ DE PEGASUS), HYPNOSE (INSPIRÉ DE HYPNOTIC POISON), AVTUS (INSPIRÉ DE AVENTUS), BLACK WOMEN (INSPIRÉ DE LA PETITE ROBE NOIRE), BAD BOY (INSPIRÉ DE L'ULTRA MÂLE), ROSE VIP (INSPIRÉ DE 212 VIP), MAGIC BLUE (INSPIRÉ DE CRAZY MOODY), WOODY (INSPIRÉ DE OUD WOOD), TOBAKO (INSPIRÉ DE TOBACCO VANILLE), SABLE (INSPIRÉ DE SABLE OR), DREAM (INSPIRÉ DE ATTRAPE-RÊVES), ILLICITE (INSPIRÉ DE L'INTERDIT), INVINCIBLE (INSPIRÉ DE INVICTUS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), ROUGE VIF (INSPIRÉ DE ROUGE TRAFALGAR), DOLCE VITA (INSPIRÉ DE KIRKÉ), EXQUISE (INSPIRÉ DE SUCRE NOIR VANIGLIA), OUD SUBTILE (INSPIRÉ DE MADAWI), KALIMATI (INSPIRÉ DE KALIMAT), ARABIA (INSPIRÉ DE SOLID), OMBRE N (INSPIRÉ DE OMBRE NOMADE), ILHAM (INSPIRÉ DE SO OUD), ANGELA (INSPIRÉ DE ANGEL), MY CHERRY (INSPIRÉ DE LOST CHERRY), PARISIENNE (INSPIRÉ DE SCANDAL FEMME), PARISIEN (INSPIRÉ DE SCANDAL HOMME), MULA (INSPIRÉ DE BYRON), ERBA (INSPIRÉ DE ERBA PURA), MUSC BLANC (INSPIRÉ DE TAHARA), ELLE (INSPIRÉ DE LIBRE), INFINITY (INSPIRÉ DE L'IMMENSITÉ), COMÈTE (INSPIRÉ DE MÉTÉORE), KRYPTON (INSPIRÉ DE CARGO), GHOST (INSPIRÉ DE BLACK PHANTOM)"
"simple","Pack 100 Parfum 50ml Collection Privée Paris","1","0","visible","<p>Composez votre pack de 100 parfums Collection Privée Paris, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur élégance et leur sillage envoûtant.</p>","","360","","COLLECTION PRIVÉE PARIS > Parfums 50ml","","","100","ÉLIXIR DE BOIS (INSPIRÉ DE BOIS D'ARGENT), ÉCLIPSE (INSPIRÉ DE GRIS MONTAIGNE), ÉLIXIR ROUGE (INSPIRÉ DE BACCARAT ROUGE), AÏSHA (INSPIRÉ DE MAGIC), SUBLIME (INSPIRÉ DE SUPRÊME BOUQUET), DÉLICE DE FÈVES (INSPIRÉ DE FÈVE DÉLICIEUSE), MYSTÈRE (INSPIRÉ DE SI), SUBLIME AMBRÉE (INSPIRÉ DE AMBRE NUIT), SISTER (INSPIRÉ DE LADY MILLION), MISTER (INSPIRÉ DE ONE MILLION), SAVANE (INSPIRÉ DE SAUVAGE), MYSTIQUE (INSPIRÉ DE TERRE D'HERMÈS), BLEU AZUR (INSPIRÉ DE BLEU DE CHANEL), ROSE (INSPIRÉ DE ROSE D'ARABIE), DOUCEUR (INSPIRÉ DE J'ADORE), COQUINE (INSPIRÉ DE COCO MADEMOISELLE), OBSCURE (INSPIRÉ DE LA NUIT DE L'HOMME), OUD D'ORIENT (INSPIRÉ DE OUD ISPAHAN), CHARME (INSPIRÉ DE MISS DIOR), NARKOTIK (INSPIRÉ DE BLACK OPIUM), FOR LIFE (INSPIRÉ DE LA VIE EST BELLE), N.MONDE (INSPIRÉ DE NOUVEAU MONDE), PEGAZ (INSPIRÉ DE PEGASUS), HYPNOSE (INSPIRÉ DE HYPNOTIC POISON), AVTUS (INSPIRÉ DE AVENTUS), BLACK WOMEN (INSPIRÉ DE LA PETITE ROBE NOIRE), BAD BOY (INSPIRÉ DE L'ULTRA MÂLE), ROSE VIP (INSPIRÉ DE 212 VIP), MAGIC BLUE (INSPIRÉ DE CRAZY MOODY), WOODY (INSPIRÉ DE OUD WOOD), TOBAKO (INSPIRÉ DE TOBACCO VANILLE), SABLE (INSPIRÉ DE SABLE OR), DREAM (INSPIRÉ DE ATTRAPE-RÊVES), ILLICITE (INSPIRÉ DE L'INTERDIT), INVINCIBLE (INSPIRÉ DE INVICTUS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), ROUGE VIF (INSPIRÉ DE ROUGE TRAFALGAR), DOLCE VITA (INSPIRÉ DE KIRKÉ), EXQUISE (INSPIRÉ DE SUCRE NOIR VANIGLIA), OUD SUBTILE (INSPIRÉ DE MADAWI), KALIMATI (INSPIRÉ DE KALIMAT), ARABIA (INSPIRÉ DE SOLID), OMBRE N (INSPIRÉ DE OMBRE NOMADE), ILHAM (INSPIRÉ DE SO OUD), ANGELA (INSPIRÉ DE ANGEL), MY CHERRY (INSPIRÉ DE LOST CHERRY), PARISIENNE (INSPIRÉ DE SCANDAL FEMME), PARISIEN (INSPIRÉ DE SCANDAL HOMME), MULA (INSPIRÉ DE BYRON), ERBA (INSPIRÉ DE ERBA PURA), MUSC BLANC (INSPIRÉ DE TAHARA), ELLE (INSPIRÉ DE LIBRE), INFINITY (INSPIRÉ DE L'IMMENSITÉ), COMÈTE (INSPIRÉ DE MÉTÉORE), KRYPTON (INSPIRÉ DE CARGO), GHOST (INSPIRÉ DE BLACK PHANTOM)"
