"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:nombre_parfums_choisir","meta:parfums_disponibles_pack"
"simple","Pack 10 Parfum 50ml Collection Privée L'intense","1","0","visible","<p>Composez votre pack de 10 parfums Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","","58","COLLECTION PRIVÉE INTENSE > Parfums 50ml","","","10","VANILLA POWER (INSPIRÉ DE VANILLA POWDER MATIÈRE PREMIÈRE), AISHA (INSPIRÉ DE MAGIC AL-JAZEERA PERFUMES), DIMA MAGHREB (INSPIRÉ DE ALTHAÏR PARFUMS DE MARLY), DZ POWER (INSPIRÉ DE HUDSON VALLEY GISSAH), CREME BRULEE (INSPIRÉ DE ESCAPADE GOURMANDE MAISON MATAHA), ILLEGAL (INSPIRÉ DE L'INTERDIT GIVENCHY), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540 MAISON FRANCIS KURKDJIAN), PETIT SUCRE (INSPIRÉ DE SUCRE NOIR ARTE PROFUMI), KRYPTO (INSPIRÉ DE KRYPTONITE KHALIL T.), MULA (INSPIRÉ DE MULA PURAN BYRON PARFUMS), KHAMRAH (INSPIRÉ DE KHAMRAH LATTAFA PERFUMES), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH PARIS CORNER), AFRICA UNITED (INSPIRÉ DE OUD MARACUJA ET ONE MILLION), TONKA (INSPIRÉ DE TONKA MANCERA), GOURMAND (INSPIRÉ DE SACRED BOND REINVENTED), MYSTIC WOOD (INSPIRÉ DE OUD CADENZA MAISON CRIVELLI), INFLUENCE (INSPIRÉ DE SCANDAL POUR HOMME JEAN PAUL GAULTIER), KIRSH (INSPIRÉ DE KIRKÈ TIZIANA TERENZI), DREAM (INSPIRÉ DE ATTRAPE-RÊVES LOUIS VUITTON), BOURGEOISE (INSPIRÉ DE SI GIORGIO ARMANI), MUSC BLANC (INSPIRÉ DE MUSC TAHARA), BLUE MAGIC (INSPIRÉ DE BLUE MAGIC LES PARFUMS D'IGOR), CHERRY (INSPIRÉ DE LOST CHERRY TOM FORD), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB ASDAAF), AZUR (INSPIRÉ DE BLEU DE CHANEL), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT DIOR), YARA INTENSE (INSPIRÉ DE YARA LATTAFA PERFUMES), SAVANE (INSPIRÉ DE SAUVAGE DIOR), ROUGE (INSPIRÉ DE ROUGE TRAFALGAR ESPRIT DE PARFUM DIOR), MONEY (INSPIRÉ DE 1 MILLION PARFUM RABANNE), ERBA (INSPIRÉ DE ERBA PURA XERJOFF), INV (INSPIRÉ DE INVICTUS RABANNE), REBEL (INSPIRÉ DE ULTRA MALE JEAN PAUL GAULTIER), LVB (INSPIRÉ DE LA VIE EST BELLE LANCÔME), NOIR DE NOIR (INSPIRÉ DE BLACK OPIUM YVES SAINT LAURENT), OUD (INSPIRÉ DE OUD ISPAHAN ESPRIT DE PARFUM DIOR), BRASILIA (CRÉATION ORIGINALE), PISTACHIO (INSPIRÉ DE PISTACHIO LATTE THEODOROS KALOTINIS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE MANCERA), SEDUCTION (INSPIRÉ DE ALIEN MUGLER), MADAME (INSPIRÉ DE COCO MADEMOISELLE CHANEL), INFINIE (INSPIRÉ DE L'IMMENSITÉ LOUIS VUITTON), ABSOLU (INSPIRÉ DE SUPREME BOUQUET YVES SAINT LAURENT), ANTHRACITE (INSPIRÉ DE GRIS DIOR TAHAR), MADAWI (INSPIRÉ DE MADAWI ARABIAN OUD)"
"simple","Pack 20 Parfum 50ml Collection Privée L'intense","1","0","visible","<p>Composez votre pack de 20 parfums Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","","108","COLLECTION PRIVÉE INTENSE > Parfums 50ml","","","20","VANILLA POWER (INSPIRÉ DE VANILLA POWDER MATIÈRE PREMIÈRE), AISHA (INSPIRÉ DE MAGIC AL-JAZEERA PERFUMES), DIMA MAGHREB (INSPIRÉ DE ALTHAÏR PARFUMS DE MARLY), DZ POWER (INSPIRÉ DE HUDSON VALLEY GISSAH), CREME BRULEE (INSPIRÉ DE ESCAPADE GOURMANDE MAISON MATAHA), ILLEGAL (INSPIRÉ DE L'INTERDIT GIVENCHY), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540 MAISON FRANCIS KURKDJIAN), PETIT SUCRE (INSPIRÉ DE SUCRE NOIR ARTE PROFUMI), KRYPTO (INSPIRÉ DE KRYPTONITE KHALIL T.), MULA (INSPIRÉ DE MULA PURAN BYRON PARFUMS), KHAMRAH (INSPIRÉ DE KHAMRAH LATTAFA PERFUMES), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH PARIS CORNER), AFRICA UNITED (INSPIRÉ DE OUD MARACUJA ET ONE MILLION), TONKA (INSPIRÉ DE TONKA MANCERA), GOURMAND (INSPIRÉ DE SACRED BOND REINVENTED), MYSTIC WOOD (INSPIRÉ DE OUD CADENZA MAISON CRIVELLI), INFLUENCE (INSPIRÉ DE SCANDAL POUR HOMME JEAN PAUL GAULTIER), KIRSH (INSPIRÉ DE KIRKÈ TIZIANA TERENZI), DREAM (INSPIRÉ DE ATTRAPE-RÊVES LOUIS VUITTON), BOURGEOISE (INSPIRÉ DE SI GIORGIO ARMANI), MUSC BLANC (INSPIRÉ DE MUSC TAHARA), BLUE MAGIC (INSPIRÉ DE BLUE MAGIC LES PARFUMS D'IGOR), CHERRY (INSPIRÉ DE LOST CHERRY TOM FORD), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB ASDAAF), AZUR (INSPIRÉ DE BLEU DE CHANEL), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT DIOR), YARA INTENSE (INSPIRÉ DE YARA LATTAFA PERFUMES), SAVANE (INSPIRÉ DE SAUVAGE DIOR), ROUGE (INSPIRÉ DE ROUGE TRAFALGAR ESPRIT DE PARFUM DIOR), MONEY (INSPIRÉ DE 1 MILLION PARFUM RABANNE), ERBA (INSPIRÉ DE ERBA PURA XERJOFF), INV (INSPIRÉ DE INVICTUS RABANNE), REBEL (INSPIRÉ DE ULTRA MALE JEAN PAUL GAULTIER), LVB (INSPIRÉ DE LA VIE EST BELLE LANCÔME), NOIR DE NOIR (INSPIRÉ DE BLACK OPIUM YVES SAINT LAURENT), OUD (INSPIRÉ DE OUD ISPAHAN ESPRIT DE PARFUM DIOR), BRASILIA (CRÉATION ORIGINALE), PISTACHIO (INSPIRÉ DE PISTACHIO LATTE THEODOROS KALOTINIS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE MANCERA), SEDUCTION (INSPIRÉ DE ALIEN MUGLER), MADAME (INSPIRÉ DE COCO MADEMOISELLE CHANEL), INFINIE (INSPIRÉ DE L'IMMENSITÉ LOUIS VUITTON), ABSOLU (INSPIRÉ DE SUPREME BOUQUET YVES SAINT LAURENT), ANTHRACITE (INSPIRÉ DE GRIS DIOR TAHAR), MADAWI (INSPIRÉ DE MADAWI ARABIAN OUD)"
"simple","Pack 35 Parfum 50ml Collection Privée L'intense","1","0","visible","<p>Composez votre pack de 35 parfums Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","","178.5","COLLECTION PRIVÉE INTENSE > Parfums 50ml","","","35","VANILLA POWER (INSPIRÉ DE VANILLA POWDER MATIÈRE PREMIÈRE), AISHA (INSPIRÉ DE MAGIC AL-JAZEERA PERFUMES), DIMA MAGHREB (INSPIRÉ DE ALTHAÏR PARFUMS DE MARLY), DZ POWER (INSPIRÉ DE HUDSON VALLEY GISSAH), CREME BRULEE (INSPIRÉ DE ESCAPADE GOURMANDE MAISON MATAHA), ILLEGAL (INSPIRÉ DE L'INTERDIT GIVENCHY), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540 MAISON FRANCIS KURKDJIAN), PETIT SUCRE (INSPIRÉ DE SUCRE NOIR ARTE PROFUMI), KRYPTO (INSPIRÉ DE KRYPTONITE KHALIL T.), MULA (INSPIRÉ DE MULA PURAN BYRON PARFUMS), KHAMRAH (INSPIRÉ DE KHAMRAH LATTAFA PERFUMES), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH PARIS CORNER), AFRICA UNITED (INSPIRÉ DE OUD MARACUJA ET ONE MILLION), TONKA (INSPIRÉ DE TONKA MANCERA), GOURMAND (INSPIRÉ DE SACRED BOND REINVENTED), MYSTIC WOOD (INSPIRÉ DE OUD CADENZA MAISON CRIVELLI), INFLUENCE (INSPIRÉ DE SCANDAL POUR HOMME JEAN PAUL GAULTIER), KIRSH (INSPIRÉ DE KIRKÈ TIZIANA TERENZI), DREAM (INSPIRÉ DE ATTRAPE-RÊVES LOUIS VUITTON), BOURGEOISE (INSPIRÉ DE SI GIORGIO ARMANI), MUSC BLANC (INSPIRÉ DE MUSC TAHARA), BLUE MAGIC (INSPIRÉ DE BLUE MAGIC LES PARFUMS D'IGOR), CHERRY (INSPIRÉ DE LOST CHERRY TOM FORD), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB ASDAAF), AZUR (INSPIRÉ DE BLEU DE CHANEL), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT DIOR), YARA INTENSE (INSPIRÉ DE YARA LATTAFA PERFUMES), SAVANE (INSPIRÉ DE SAUVAGE DIOR), ROUGE (INSPIRÉ DE ROUGE TRAFALGAR ESPRIT DE PARFUM DIOR), MONEY (INSPIRÉ DE 1 MILLION PARFUM RABANNE), ERBA (INSPIRÉ DE ERBA PURA XERJOFF), INV (INSPIRÉ DE INVICTUS RABANNE), REBEL (INSPIRÉ DE ULTRA MALE JEAN PAUL GAULTIER), LVB (INSPIRÉ DE LA VIE EST BELLE LANCÔME), NOIR DE NOIR (INSPIRÉ DE BLACK OPIUM YVES SAINT LAURENT), OUD (INSPIRÉ DE OUD ISPAHAN ESPRIT DE PARFUM DIOR), BRASILIA (CRÉATION ORIGINALE), PISTACHIO (INSPIRÉ DE PISTACHIO LATTE THEODOROS KALOTINIS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE MANCERA), SEDUCTION (INSPIRÉ DE ALIEN MUGLER), MADAME (INSPIRÉ DE COCO MADEMOISELLE CHANEL), INFINIE (INSPIRÉ DE L'IMMENSITÉ LOUIS VUITTON), ABSOLU (INSPIRÉ DE SUPREME BOUQUET YVES SAINT LAURENT), ANTHRACITE (INSPIRÉ DE GRIS DIOR TAHAR), MADAWI (INSPIRÉ DE MADAWI ARABIAN OUD)"
"simple","Pack 50 Parfum 50ml Collection Privée L'intense","1","0","visible","<p>Composez votre pack de 50 parfums Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","","235","COLLECTION PRIVÉE INTENSE > Parfums 50ml","","","50","VANILLA POWER (INSPIRÉ DE VANILLA POWDER MATIÈRE PREMIÈRE), AISHA (INSPIRÉ DE MAGIC AL-JAZEERA PERFUMES), DIMA MAGHREB (INSPIRÉ DE ALTHAÏR PARFUMS DE MARLY), DZ POWER (INSPIRÉ DE HUDSON VALLEY GISSAH), CREME BRULEE (INSPIRÉ DE ESCAPADE GOURMANDE MAISON MATAHA), ILLEGAL (INSPIRÉ DE L'INTERDIT GIVENCHY), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540 MAISON FRANCIS KURKDJIAN), PETIT SUCRE (INSPIRÉ DE SUCRE NOIR ARTE PROFUMI), KRYPTO (INSPIRÉ DE KRYPTONITE KHALIL T.), MULA (INSPIRÉ DE MULA PURAN BYRON PARFUMS), KHAMRAH (INSPIRÉ DE KHAMRAH LATTAFA PERFUMES), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH PARIS CORNER), AFRICA UNITED (INSPIRÉ DE OUD MARACUJA ET ONE MILLION), TONKA (INSPIRÉ DE TONKA MANCERA), GOURMAND (INSPIRÉ DE SACRED BOND REINVENTED), MYSTIC WOOD (INSPIRÉ DE OUD CADENZA MAISON CRIVELLI), INFLUENCE (INSPIRÉ DE SCANDAL POUR HOMME JEAN PAUL GAULTIER), KIRSH (INSPIRÉ DE KIRKÈ TIZIANA TERENZI), DREAM (INSPIRÉ DE ATTRAPE-RÊVES LOUIS VUITTON), BOURGEOISE (INSPIRÉ DE SI GIORGIO ARMANI), MUSC BLANC (INSPIRÉ DE MUSC TAHARA), BLUE MAGIC (INSPIRÉ DE BLUE MAGIC LES PARFUMS D'IGOR), CHERRY (INSPIRÉ DE LOST CHERRY TOM FORD), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB ASDAAF), AZUR (INSPIRÉ DE BLEU DE CHANEL), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT DIOR), YARA INTENSE (INSPIRÉ DE YARA LATTAFA PERFUMES), SAVANE (INSPIRÉ DE SAUVAGE DIOR), ROUGE (INSPIRÉ DE ROUGE TRAFALGAR ESPRIT DE PARFUM DIOR), MONEY (INSPIRÉ DE 1 MILLION PARFUM RABANNE), ERBA (INSPIRÉ DE ERBA PURA XERJOFF), INV (INSPIRÉ DE INVICTUS RABANNE), REBEL (INSPIRÉ DE ULTRA MALE JEAN PAUL GAULTIER), LVB (INSPIRÉ DE LA VIE EST BELLE LANCÔME), NOIR DE NOIR (INSPIRÉ DE BLACK OPIUM YVES SAINT LAURENT), OUD (INSPIRÉ DE OUD ISPAHAN ESPRIT DE PARFUM DIOR), BRASILIA (CRÉATION ORIGINALE), PISTACHIO (INSPIRÉ DE PISTACHIO LATTE THEODOROS KALOTINIS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE MANCERA), SEDUCTION (INSPIRÉ DE ALIEN MUGLER), MADAME (INSPIRÉ DE COCO MADEMOISELLE CHANEL), INFINIE (INSPIRÉ DE L'IMMENSITÉ LOUIS VUITTON), ABSOLU (INSPIRÉ DE SUPREME BOUQUET YVES SAINT LAURENT), ANTHRACITE (INSPIRÉ DE GRIS DIOR TAHAR), MADAWI (INSPIRÉ DE MADAWI ARABIAN OUD)"
"simple","Pack 100 Parfum 50ml Collection Privée L'intense","1","0","visible","<p>Composez votre pack de 100 parfums Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour leur intensité, leur élégance et leur tenue exceptionnelle.</p>","","","430","COLLECTION PRIVÉE INTENSE > Parfums 50ml","","","100","VANILLA POWER (INSPIRÉ DE VANILLA POWDER MATIÈRE PREMIÈRE), AISHA (INSPIRÉ DE MAGIC AL-JAZEERA PERFUMES), DIMA MAGHREB (INSPIRÉ DE ALTHAÏR PARFUMS DE MARLY), DZ POWER (INSPIRÉ DE HUDSON VALLEY GISSAH), CREME BRULEE (INSPIRÉ DE ESCAPADE GOURMANDE MAISON MATAHA), ILLEGAL (INSPIRÉ DE L'INTERDIT GIVENCHY), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540 MAISON FRANCIS KURKDJIAN), PETIT SUCRE (INSPIRÉ DE SUCRE NOIR ARTE PROFUMI), KRYPTO (INSPIRÉ DE KRYPTONITE KHALIL T.), MULA (INSPIRÉ DE MULA PURAN BYRON PARFUMS), KHAMRAH (INSPIRÉ DE KHAMRAH LATTAFA PERFUMES), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH PARIS CORNER), AFRICA UNITED (INSPIRÉ DE OUD MARACUJA ET ONE MILLION), TONKA (INSPIRÉ DE TONKA MANCERA), GOURMAND (INSPIRÉ DE SACRED BOND REINVENTED), MYSTIC WOOD (INSPIRÉ DE OUD CADENZA MAISON CRIVELLI), INFLUENCE (INSPIRÉ DE SCANDAL POUR HOMME JEAN PAUL GAULTIER), KIRSH (INSPIRÉ DE KIRKÈ TIZIANA TERENZI), DREAM (INSPIRÉ DE ATTRAPE-RÊVES LOUIS VUITTON), BOURGEOISE (INSPIRÉ DE SI GIORGIO ARMANI), MUSC BLANC (INSPIRÉ DE MUSC TAHARA), BLUE MAGIC (INSPIRÉ DE BLUE MAGIC LES PARFUMS D'IGOR), CHERRY (INSPIRÉ DE LOST CHERRY TOM FORD), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB ASDAAF), AZUR (INSPIRÉ DE BLEU DE CHANEL), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT DIOR), YARA INTENSE (INSPIRÉ DE YARA LATTAFA PERFUMES), SAVANE (INSPIRÉ DE SAUVAGE DIOR), ROUGE (INSPIRÉ DE ROUGE TRAFALGAR ESPRIT DE PARFUM DIOR), MONEY (INSPIRÉ DE 1 MILLION PARFUM RABANNE), ERBA (INSPIRÉ DE ERBA PURA XERJOFF), INV (INSPIRÉ DE INVICTUS RABANNE), REBEL (INSPIRÉ DE ULTRA MALE JEAN PAUL GAULTIER), LVB (INSPIRÉ DE LA VIE EST BELLE LANCÔME), NOIR DE NOIR (INSPIRÉ DE BLACK OPIUM YVES SAINT LAURENT), OUD (INSPIRÉ DE OUD ISPAHAN ESPRIT DE PARFUM DIOR), BRASILIA (CRÉATION ORIGINALE), PISTACHIO (INSPIRÉ DE PISTACHIO LATTE THEODOROS KALOTINIS), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE MANCERA), SEDUCTION (INSPIRÉ DE ALIEN MUGLER), MADAME (INSPIRÉ DE COCO MADEMOISELLE CHANEL), INFINIE (INSPIRÉ DE L'IMMENSITÉ LOUIS VUITTON), ABSOLU (INSPIRÉ DE SUPREME BOUQUET YVES SAINT LAURENT), ANTHRACITE (INSPIRÉ DE GRIS DIOR TAHAR), MADAWI (INSPIRÉ DE MADAWI ARABIAN OUD)"
