"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums","meta:_weight"
"simple","Pack 10 Gels Douche Collection Privée L'original","1","0","visible","<p>Composez votre pack de 10 gels douche Collection Privée L'Original, des soins parfumés d'exception inspirés des plus grands parfums de luxe, sélectionnés pour leur onctuosité, leur parfum intense et leur soin enveloppant.</p>","","","58.00","","","","10","AISHA (INSPIRÉ DE MAGIC), ÉLIXIR DE BOIS (ÉLIXIR DE BOIS), ÉLIXIR ROUGE (ÉLIXIR ROUGE), INFINITY (INFINITY), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), PRINCE D'ARABIE (PRINCE D'ARABIE), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB), RAYA (INSPIRÉ DE YARA), SAVANE (INSPIRÉ DE SAUVAGE), VANILLE COCO (VANILLE COCO)","3.50"
"simple","Pack 20 Gels Douche Collection Privée L'original","1","0","visible","<p>Composez votre pack de 20 gels douche Collection Privée L'Original, des soins parfumés d'exception inspirés des plus grands parfums de luxe, sélectionnés pour leur onctuosité, leur parfum intense et leur soin enveloppant.</p>","","","108.00","","","","20","AISHA (INSPIRÉ DE MAGIC), ÉLIXIR DE BOIS (ÉLIXIR DE BOIS), ÉLIXIR ROUGE (ÉLIXIR ROUGE), INFINITY (INFINITY), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), PRINCE D'ARABIE (PRINCE D'ARABIE), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB), RAYA (INSPIRÉ DE YARA), SAVANE (INSPIRÉ DE SAUVAGE), VANILLE COCO (VANILLE COCO)","7.00"
"simple","Pack 40 Gels Douche Collection Privée L'original","1","0","visible","<p>Composez votre pack de 40 gels douche Collection Privée L'Original, des soins parfumés d'exception inspirés des plus grands parfums de luxe, sélectionnés pour leur onctuosité, leur parfum intense et leur soin enveloppant.</p>","","","200.00","","","","40","AISHA (INSPIRÉ DE MAGIC), ÉLIXIR DE BOIS (ÉLIXIR DE BOIS), ÉLIXIR ROUGE (ÉLIXIR ROUGE), INFINITY (INFINITY), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), PRINCE D'ARABIE (PRINCE D'ARABIE), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB), RAYA (INSPIRÉ DE YARA), SAVANE (INSPIRÉ DE SAUVAGE), VANILLE COCO (VANILLE COCO)","14.00"
"simple","Pack 60 Gels Douche Collection Privée L'original","1","0","visible","<p>Composez votre pack de 60 gels douche Collection Privée L'Original, des soins parfumés d'exception inspirés des plus grands parfums de luxe, sélectionnés pour leur onctuosité, leur parfum intense et leur soin enveloppant.</p>","","","282.00","","","","60","AISHA (INSPIRÉ DE MAGIC), ÉLIXIR DE BOIS (ÉLIXIR DE BOIS), ÉLIXIR ROUGE (ÉLIXIR ROUGE), INFINITY (INFINITY), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), PRINCE D'ARABIE (PRINCE D'ARABIE), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB), RAYA (INSPIRÉ DE YARA), SAVANE (INSPIRÉ DE SAUVAGE), VANILLE COCO (VANILLE COCO)","21.00"
"simple","Pack 100 Gels Douche Collection Privée L'original","1","0","visible","<p>Composez votre pack de 100 gels douche Collection Privée L'Original, des soins parfumés d'exception inspirés des plus grands parfums de luxe, sélectionnés pour leur onctuosité, leur parfum intense et leur soin enveloppant.</p>","","","430.00","","","","100","AISHA (INSPIRÉ DE MAGIC), ÉLIXIR DE BOIS (ÉLIXIR DE BOIS), ÉLIXIR ROUGE (ÉLIXIR ROUGE), INFINITY (INFINITY), KRYPTON (INSPIRÉ DE KRYPTONITE), MULA (INSPIRÉ DE MULA PURAN), PRINCE D'ARABIE (PRINCE D'ARABIE), PRINCESSE D'ARABIE (INSPIRÉ DE AMEERAT AL ARAB), RAYA (INSPIRÉ DE YARA), SAVANE (INSPIRÉ DE SAUVAGE), VANILLE COCO (VANILLE COCO)","35.00"
