"Type","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Images","meta:badge_personnalise","meta:_pack_quantity","meta:_pack_parfums"
"simple","Pack 10 Spray Intérieur & Textile Collection Privée L'original","1","0","visible","<p>Composez votre pack de 10 sprays d'intérieur et textile Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour sublimer votre intérieur et vos textiles.</p>","","","39","Collection Privée L'Original > Sprays d'Intérieur et Textile","","","10","AISHA (INSPIRÉ DE MAGIC), AMEERAT (INSPIRÉ DE AMEERAT AL ARAB), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT), CANDY, ECLAIR, ERBA (INSPIRÉ DE ERBA PURA), ILLEGAL (INSPIRÉ DE L'INTERDIT), KRYPTO (INSPIRÉ DE KRYPTONITE), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH), MULA (INSPIRÉ DE MULA PURAN), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), SAVANE (INSPIRÉ DE SAUVAGE), VANILLA POWER (INSPIRÉ DE VANILLA POWDER), YARA ROSE (INSPIRÉ DE YARA ROSE)"
"simple","Pack 20 Spray Intérieur & Textile Collection Privée L'original","1","0","visible","<p>Composez votre pack de 20 sprays d'intérieur et textile Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour sublimer votre intérieur et vos textiles.</p>","","","72","Collection Privée L'Original > Sprays d'Intérieur et Textile","","","20","AISHA (INSPIRÉ DE MAGIC), AMEERAT (INSPIRÉ DE AMEERAT AL ARAB), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT), CANDY, ECLAIR, ERBA (INSPIRÉ DE ERBA PURA), ILLEGAL (INSPIRÉ DE L'INTERDIT), KRYPTO (INSPIRÉ DE KRYPTONITE), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH), MULA (INSPIRÉ DE MULA PURAN), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), SAVANE (INSPIRÉ DE SAUVAGE), VANILLA POWER (INSPIRÉ DE VANILLA POWDER), YARA ROSE (INSPIRÉ DE YARA ROSE)"
"simple","Pack 40 Spray Intérieur & Textile Collection Privée L'original","1","0","visible","<p>Composez votre pack de 40 sprays d'intérieur et textile Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour sublimer votre intérieur et vos textiles.</p>","","","128","Collection Privée L'Original > Sprays d'Intérieur et Textile","","","40","AISHA (INSPIRÉ DE MAGIC), AMEERAT (INSPIRÉ DE AMEERAT AL ARAB), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT), CANDY, ECLAIR, ERBA (INSPIRÉ DE ERBA PURA), ILLEGAL (INSPIRÉ DE L'INTERDIT), KRYPTO (INSPIRÉ DE KRYPTONITE), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH), MULA (INSPIRÉ DE MULA PURAN), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), SAVANE (INSPIRÉ DE SAUVAGE), VANILLA POWER (INSPIRÉ DE VANILLA POWDER), YARA ROSE (INSPIRÉ DE YARA ROSE)"
"simple","Pack 60 Spray Intérieur & Textile Collection Privée L'original","1","0","visible","<p>Composez votre pack de 60 sprays d'intérieur et textile Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour sublimer votre intérieur et vos textiles.</p>","","","180","Collection Privée L'Original > Sprays d'Intérieur et Textile","","","60","AISHA (INSPIRÉ DE MAGIC), AMEERAT (INSPIRÉ DE AMEERAT AL ARAB), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT), CANDY, ECLAIR, ERBA (INSPIRÉ DE ERBA PURA), ILLEGAL (INSPIRÉ DE L'INTERDIT), KRYPTO (INSPIRÉ DE KRYPTONITE), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH), MULA (INSPIRÉ DE MULA PURAN), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), SAVANE (INSPIRÉ DE SAUVAGE), VANILLA POWER (INSPIRÉ DE VANILLA POWDER), YARA ROSE (INSPIRÉ DE YARA ROSE)"
"simple","Pack 100 Spray Intérieur & Textile Collection Privée L'original","1","0","visible","<p>Composez votre pack de 100 sprays d'intérieur et textile Collection Privée, des fragrances inspirées des grands parfums de luxe, sélectionnées pour sublimer votre intérieur et vos textiles.</p>","","","270","Collection Privée L'Original > Sprays d'Intérieur et Textile","","","100","AISHA (INSPIRÉ DE MAGIC), AMEERAT (INSPIRÉ DE AMEERAT AL ARAB), BAKARA (INSPIRÉ DE BACCARAT ROUGE 540), BOIS INTENSE (INSPIRÉ DE BOIS D'ARGENT), CANDY, ECLAIR, ERBA (INSPIRÉ DE ERBA PURA), ILLEGAL (INSPIRÉ DE L'INTERDIT), KRYPTO (INSPIRÉ DE KRYPTONITE), MARSHMALLOW (INSPIRÉ DE MARSHMALLOW BLUSH), MULA (INSPIRÉ DE MULA PURAN), ROSE VANILLE (INSPIRÉ DE ROSES VANILLE), SAVANE (INSPIRÉ DE SAUVAGE), VANILLA POWER (INSPIRÉ DE VANILLA POWDER), YARA ROSE (INSPIRÉ DE YARA ROSE)"
